gyro
0.16,-0.06,0.0,0
0.16,-0.06,0.0,9623000
0.16,-0.06,0.0,20501000
0.0,-0.01,0.02,29832000
0.0,-0.01,0.02,39818000
0.0,-0.01,0.02,49590000
-0.03,0.14,0.12,61205000
-0.03,0.14,0.12,69665000
-0.03,0.14,0.12,79658000
0.049999997,0.14999999,0.17999999,89748000
0.049999997,0.14999999,0.17999999,99720000
0.12,0.0,0.17,109649000
0.12,0.0,0.17,119613000
0.12,0.0,0.17,130160000
0.19999999,-0.089999996,0.14,139842000
0.19999999,-0.089999996,0.14,149611000
0.19999999,-0.089999996,0.14,159592000
0.31,-0.08,0.12,169632000
0.31,-0.08,0.12,179631000
0.31,-0.08,0.12,190406000
0.25,-0.01,0.099999994,200036000
0.25,-0.01,0.099999994,210191000
0.25,-0.01,0.099999994,219786000
0.02,0.11,0.089999996,229628000
0.02,0.11,0.089999996,239630000
0.02,0.11,0.089999996,250020000
-0.02,0.21,0.06,260130000
-0.02,0.21,0.06,269657000
-0.02,0.21,0.06,279587000
0.0,0.22,0.0,289945000
0.0,0.22,0.0,299754000
0.08,0.17999999,-0.049999997,309623000
0.08,0.17999999,-0.049999997,319645000
0.08,0.17999999,-0.049999997,330421000
0.17999999,0.13,-0.08,341719000
0.17999999,0.13,-0.08,349767000
0.17999999,0.13,-0.08,359604000
0.16,0.11,-0.08,369636000
0.16,0.11,-0.08,379834000
0.16,0.11,-0.08,390131000
0.12,0.06,-0.099999994,399633000
0.12,0.06,-0.099999994,409594000
0.12,0.06,-0.099999994,419654000
-0.01,0.03,-0.12,429634000
-0.01,0.03,-0.12,439652000
-0.01,0.03,-0.12,449606000
-0.13,0.0,-0.16,460517000
-0.13,0.0,-0.16,469637000
-0.13,0.0,-0.16,479608000
-0.14999999,0.02,-0.16,489819000
-0.14999999,0.02,-0.16,499612000
-0.14999999,0.02,-0.16,510193000
-0.17999999,0.02,-0.089999996,519935000
-0.17999999,0.02,-0.089999996,529587000
-0.17999999,0.0,0.03,539631000
-0.17999999,0.0,0.03,549614000
